order_id,warehouse_id,delivery_date,user_id
1781559,1,2020-02-01,89718
1781560,1,2020-02-02,487283
1781561,5,2020-02-02,477993
1781562,5,2020-02-01,203165
1781563,6,2020-02-01,707050
1781564,1,2020-02-02,466672
1781565,6,2020-02-07,502534
1781566,1,2020-02-02,619936
1781567,5,2020-02-02,658230
1781568,5,2020-02-01,533602
1781571,1,2020-02-01,557477
1781572,5,2020-02-01,715366
1781573,2,2020-02-03,405616
1781574,6,2020-02-02,734805
1781575,15,2020-02-02,758465
1781576,6,2020-02-02,758467
1781577,1,2020-02-01,565119
1781578,1,2020-02-01,466215
1781579,5,2020-02-01,417152
1781580,1,2020-02-01,750074
1781581,15,2020-02-02,758469
1781582,6,2020-02-01,647552
1781583,3,2020-02-02,690972
1781585,5,2020-02-02,173511
1781586,5,2020-02-02,551608
1781587,2,2020-02-02,136852
1781588,3,2020-02-02,745630
1781589,5,2020-02-01,732366
1781590,6,2020-02-03,396765
1781591,5,2020-02-02,619754
1781592,3,2020-02-02,212215
1781593,5,2020-02-01,113294
1781594,6,2020-02-03,696971
1781595,5,2020-02-01,454202
1781596,6,2020-02-04,755006
1781597,5,2020-02-02,113962
1781598,6,2020-02-02,757896
1781599,6,2020-02-02,700375
1781600,3,2020-02-02,207009
1781601,6,2020-02-06,614069
1781602,3,2020-02-15,562475
1781603,1,2020-02-03,288695
1781604,5,2020-02-02,692513
1781605,5,2020-02-01,754613
1781606,2,2020-02-01,241406
1781607,2,2020-02-02,739945
1781608,6,2020-02-02,740782
1781609,6,2020-02-02,623189
1781610,5,2020-02-02,233070
1781611,3,2020-02-01,264220
1781612,5,2020-02-01,58286
1781613,5,2020-02-02,597761
1781614,2,2020-02-03,678206
1781615,2,2020-02-02,645992
1781616,6,2020-02-02,633049
1781617,6,2020-02-01,382334
1781618,1,2020-02-01,146069
1781619,5,2020-02-02,481170
1781620,1,2020-02-02,171006
1781621,2,2020-02-01,701447
1781622,6,2020-02-02,228615
1781623,6,2020-02-02,683506
1781624,5,2020-02-02,488936
1781625,2,2020-02-01,115979
1781626,2,2020-02-02,664689
1781627,6,2020-02-01,758482
1781628,2,2020-02-02,331120
1781629,1,2020-02-02,20013
1781630,6,2020-02-02,172473
1781631,5,2020-02-01,278994
1781632,6,2020-02-02,715630
1781633,6,2020-02-01,165641
1781634,1,2020-02-01,380438
1781635,2,2020-02-02,745009
1781636,1,2020-02-01,488293
1781637,5,2020-02-01,114052
1781638,5,2020-02-01,601846
1781639,2,2020-02-02,739438
1781640,2,2020-02-01,456921
1781641,3,2020-02-02,529253
1781642,6,2020-02-02,758485
1781643,2,2020-02-02,758390
1781644,2,2020-02-01,665835
1781645,5,2020-02-02,62357
1781646,6,2020-02-02,63847
1781647,5,2020-02-03,23273
1781648,3,2020-02-02,758490
1781649,6,2020-02-01,133085
1781650,5,2020-02-01,93447
1781651,1,2020-02-01,558439
1781652,2,2020-02-06,539961
1781653,2,2020-02-02,557536
1781654,2,2020-02-02,681352
1781655,5,2020-02-01,639205
1781657,6,2020-02-01,710496
1781658,6,2020-02-01,278609
1781659,1,2020-02-03,143326
1781660,3,2020-02-02,706094
1781661,1,2020-02-02,305825
1781662,1,2020-02-01,758493
1781663,2,2020-02-06,181483
1781664,6,2020-02-02,83527
1781665,5,2020-02-01,109299
1781666,6,2020-02-03,487449
1781667,6,2020-02-02,210079
1781668,6,2020-02-02,530566
1781669,1,2020-02-01,676922
1781670,5,2020-02-01,504962
1781671,5,2020-02-01,698179
1781672,5,2020-02-01,682390
1781673,5,2020-02-02,722423
1781674,5,2020-02-02,646521
1781675,3,2020-02-02,758491
1781676,6,2020-02-01,583791
1781677,5,2020-02-01,543039
1781678,5,2020-02-01,537417
1781679,1,2020-02-01,758498
1781680,1,2020-02-01,546621
1781681,6,2020-02-02,276902
1781682,6,2020-02-04,186586
1781683,2,2020-02-01,478161
1781684,3,2020-02-02,317347
1781685,6,2020-02-02,607138
1781687,2,2020-02-02,678697
1781689,5,2020-02-06,629792
1781690,6,2020-02-02,713224
1781691,3,2020-02-02,171867
1781692,2,2020-02-02,433307
1781693,6,2020-02-01,731858
1781694,6,2020-02-01,529231
1781695,6,2020-02-02,134871
1781696,1,2020-02-01,56686
1781697,2,2020-02-02,227165
1781698,5,2020-02-04,369528
1781699,6,2020-02-01,334590
1781700,6,2020-02-02,590094
1781701,2,2020-02-02,757745
1781702,3,2020-02-02,172074
1781703,5,2020-02-02,483048
1781704,5,2020-02-01,697798
1781705,2,2020-02-01,177522
1781706,6,2020-02-01,523405
1781707,3,2020-02-03,33308
1781708,2,2020-02-02,706405
1781709,6,2020-02-02,758504
1781710,3,2020-02-01,758505
1781711,6,2020-02-02,272255
1781712,5,2020-02-02,596655
1781713,1,2020-02-01,701296
1781714,1,2020-02-01,562692
1781715,1,2020-02-03,207693
1781716,6,2020-02-01,597597
1781717,6,2020-02-01,117892
1781718,6,2020-02-02,118019
1781719,5,2020-02-02,649912
1781720,2,2020-02-02,750777
1781721,1,2020-02-01,246328
1781722,6,2020-02-01,416820
1781723,6,2020-02-01,36922
1781724,5,2020-02-01,738486
1781725,6,2020-02-02,731185
1781726,3,2020-02-02,758511
1781727,1,2020-02-01,758510
1781728,5,2020-02-01,518768
1781729,3,2020-02-02,719836
1781730,6,2020-02-01,747463
1781731,1,2020-02-01,542488
1781732,2,2020-02-02,101889
1781733,2,2020-02-01,93459
1781734,2,2020-02-02,510311
1781735,1,2020-02-01,560792
1781736,6,2020-02-01,622013
1781737,6,2020-02-02,273592
1781738,6,2020-02-02,758512
1781739,2,2020-02-02,201675
1781740,6,2020-02-02,673951
1781741,6,2020-02-01,621920
1781742,6,2020-02-01,638580
1781743,1,2020-02-02,595726
1781744,1,2020-02-09,449520
1781745,1,2020-02-02,758514
1781746,2,2020-02-01,758515
1781747,6,2020-02-01,756950
1781748,5,2020-02-02,478436
1781749,5,2020-02-02,242092
1781750,5,2020-02-02,627787
1781751,1,2020-02-03,652570
1781752,5,2020-02-01,500546
1781754,6,2020-02-01,628930
1781755,1,2020-02-01,80271
1781756,6,2020-02-03,656105
1781757,5,2020-02-01,441952
1781758,1,2020-02-03,652570
1781759,6,2020-02-02,572150
1781760,5,2020-02-02,466000
1781761,4,2020-02-01,672182
1781762,6,2020-02-01,554433
1781763,5,2020-02-01,546510
1781764,1,2020-02-01,236167
1781765,5,2020-02-01,604824
1781766,5,2020-02-02,707791
1781767,6,2020-02-02,525321
1781768,2,2020-02-02,547535
1781769,1,2020-02-01,460536
1781770,2,2020-02-01,481003
1781771,5,2020-02-02,497315
1781772,2,2020-02-02,741655
1781773,6,2020-02-02,634976
1781774,1,2020-02-01,488287
1781775,3,2020-02-02,627790
1781776,4,2020-02-01,672182
1781777,5,2020-02-02,589302
1781778,3,2020-02-02,338170
1781779,3,2020-02-01,758277
1781780,12,2020-02-01,637452
1781781,2,2020-02-02,560870
1781782,4,2020-02-01,708567
1781783,1,2020-02-01,45811
1781784,1,2020-02-02,311440
1781785,1,2020-02-03,440485
1781786,2,2020-02-01,534546
1781787,3,2020-02-02,549667
1781788,5,2020-02-01,669178
1781789,6,2020-02-02,621084
1781790,1,2020-02-02,551235
1781791,1,2020-02-01,758525
1781792,2,2020-02-02,558824
