product_id,height,width,length,weight,can_mix
1,23,13,8,1108,Toilet
2,27,10,7,NULL,Toilet
3,1,13,12,33,Food
4,1,9,12,33,Food
5,23.8,7.8,5.8,NULL,Toilet
6,12.1,7,3.2,50,Toilet
7,12,10.5,10.5,368,Food
8,14,11,11,610,Food
9,7,12,7,380,Food
10,6,31,16,470,Food
11,3,9,30,500,Food
12,20,5.5,5.5,254,Food
13,16,9,3,200,Food
14,6,17,5,510,Food
15,19.5,12,6,166,Food
16,10,10,1,NULL,Food
17,NULL,NULL,NULL,NULL,Toilet
18,1,1,1,NULL,Food
19,11.5,5,1,NULL,NULL
20,22,9,5,NULL,Food
21,NULL,NULL,NULL,NULL,NULL
22,NULL,NULL,NULL,NULL,Food
23,26,19.5,7.5,NULL,Food
26,NULL,NULL,NULL,NULL,NULL
27,5,12,23,1100,Food
28,18,12,4,1000,Food
29,5,13,22,1155,Food
30,9,21,40,6950,Food
31,4,15,8,146,Food
412,19,26,40,2090,Toilet
413,14,19,25,700,Toilet
414,25,16,13,658,Food
415,19,24,34,NULL,Food
416,26,11,5,586,Toilet
417,10,10,1,52,Toilet
418,23,11,11,184,Toilet
419,14,14,6,105,Toilet
420,24,8,5,555,Toilet
421,11,29,14,294,Toilet
422,13,11,12,130,Toilet
423,26,8,8,1000,Food
424,27.5,6.5,6.5,895,Food
425,26.5,8,8,1001,Food
426,34,9,13,3005,Food
427,34,9,13,1002,Food
428,20.6,7.1,5,465,Food
429,21,7,7,640,Food
430,NULL,NULL,NULL,NULL,NULL
431,20,6,6,520,Food
432,37,12,12,3106,Food
433,25,9,9,1014,Food
434,15,10,1,28,Food
435,22,9,5,54,NULL
436,NULL,NULL,NULL,NULL,NULL
437,3.5,12.5,19.5,1000,Food
438,14,20,2,1000,Food
439,14,18,7,567,Food
440,12,8,2,NULL,Food
441,9,9,3,28,NULL
442,15,8,4,NULL,Food
444,17,11,7,108,Food
445,20,12,6,NULL,Food
446,10,27,35,4540,Food
447,2,15,15,446,Food
448,4,11,11,456,Food
449,10,10,10,100,NULL
450,11.5,5.5,5.5,NULL,NULL
451,19.5,13,2,500,Food
452,19,13,2,500,Food
453,25,13.5,4,1000,Food
454,21,13,3,NULL,Food
455,3,10,15,506,Food
456,5,13,20,1002,Food
457,12,19,2.5,500,Food
458,2,15,19,260,Food
459,15,10,2,200,Food
460,20,14,6,470,Food
461,18,10,5,212,Food
462,3,11.5,15,168,Food
463,NULL,NULL,NULL,NULL,NULL
464,20,7.5,7,1063,Food
465,21,6,6,635,Food
466,20,7,7,635,Food
467,7,22,28,234,Food
468,26,13,12,2210,Toilet
469,5,5,17,335,Food
470,7,25,5,410,Food
471,4,16,5,154,Food
472,4,20,5,152,Food
473,3,13,5,156,Food
474,20,6,6,110,Food
475,3,10,16,86,Pets
476,4,8,10,94,Food
477,24,13,6,500,Food
478,7,11,28,510,Food
479,5.5,9.5,18.5,134,Food
480,15.5,7,7,348,Food
481,16,7,7,342,Food
482,15.5,7,7,358,Food
483,1,6.5,9.5,8,Food
484,1.5,6.5,9,8,Food
485,7,9,1.5,10,Food
486,13,10,1,14,Food
487,11,10,3,NULL,NULL
488,22,5,3,17,Toilet
489,5,18,11,420,Food
490,3,16,15,136,Food
491,NULL,NULL,NULL,NULL,Food
492,4,16,24,260,Food
493,2.5,18,28,272,Food
494,4,17,26,244,Food
495,3,16,17,136,Food
496,13,6.5,6.5,374,Food
497,22.5,14,3,NULL,Food
498,2,17,20,172,Food
499,2,10,20,158,Food
500,3,17,20,225,Food
501,3,9,21,94,Food
502,7,7,6.9,NULL,Food
503,3,12,37,140,Food
504,21,11,6,126,Food
505,8.5,18.5,3,500,Food
506,19,8,3,500,Food
507,21,11,6,NULL,Food
508,3,14,22,240,Food
509,21,11,6,NULL,Food
510,4,10,10,236,Food
511,4,9,9,230,Food
512,15,12,5,510,Food
513,2,15,17,200,Food
514,10,12,1,15,Food
515,4,10.5,5,NULL,Food
516,2,15,17,82,Food
517,16,15,4,NULL,Food
518,26.5,18.3,4,228,Food
519,13,10,1,NULL,Food
520,60,36.5,8,10000,Food
521,5,20,29,1008,Food
522,35,25,7,2006,Food
523,2,11,13,200,Food
524,8,7,7,200,Food
525,12,11,13,230,Food
526,12,6.5,6.5,280,Food
527,11,6,6,250,Food
528,4,6,3,25,Toilet
529,16,5,1,70,Food
530,23,8.5,5,546,Toilet
531,18,5,8,NULL,NULL
532,23,5,5,372,Toilet
533,9.5,5,5,NULL,Food
534,11,7.5,6.5,386,Food
535,13,8,5,210,Food
536,25,10.5,10.5,900,Food
537,4,20,16,NULL,Food
538,3,20,4,124,Toilet
539,15,5,4,86,Food
540,27,8,10,1000,Toilet
541,NULL,NULL,NULL,NULL,NULL
542,18,7,6,356,Food
543,17,12,5,56,Food
544,28,19,6,NULL,Food
545,14,21.5,1,100,Food
546,14,21.5,1,85,Food
547,12,19,2.5,500,NULL
548,12,19,2.5,500,Food
549,15,10,1,28,Food
550,26,8,7,1136,Toilet
551,26,7,7,1074,Toilet
552,18,7,4,202,Food
553,22,4.2,4.2,168,Toilet
554,12.5,3.8,4.3,255,NULL
555,27,10,6,1090,Toilet
556,27,11,6,1088,Food
557,5,30,42,2726,Toilet
558,4,21,31,1012,Toilet
559,8,33,43,3058,Toilet
560,10,12,5,225,Toilet
561,23,15,4,NULL,Food
562,2,12,23,98,Food
563,3,12,13,90,Food
564,21,8,5,600,Food
565,12,11,13,190,NULL
566,11,7,7,300,NULL
568,4,8.5,8,170,NULL
569,4,8.5,8,170,NULL
570,11,7,7,300,Food
571,12,7,7,300,Food
572,12,7,7,300,Food
573,12,7,7,300,NULL
574,4,9,9,180,Food
575,12,7,7,380,Food
576,3,16,10,432,Food
577,6,7,7,190,NULL
578,4,8.5,8,170,NULL
579,4,33,4,114,Food
580,24,12,5,16,NULL
581,9,6,3,16,Toilet
582,13,10,4,100,Toilet
583,12,8.5,3,11,Toilet
584,19,9.5,3,17,Toilet
585,1,13,15,45,NULL
586,1,11,9,58,Food
587,12,19,2.5,500,Food
588,12,19,2.5,500,NULL
589,4,14,19,246,Food
590,4,11,19,246,Food
591,4,8.5,21,230,Food
592,6.5,8,28,300,Food
593,3,5,20,166,Food
594,5,14,16,152,Food
595,18.5,20.5,7,NULL,NULL
596,18.5,20.5,7,NULL,Food
597,5,13,21,252,Food
598,4,12,19,274,Food
599,4,20,11,288,Food
600,14,9,6,82,Food
601,4,7,14,94,Food
602,18,14,5,216,Food
603,5,12,17,440,Food
604,4,20,14,426,Food
605,13,5,2,36,Food
606,17,22,5.5,210,Food
607,22,14,8,NULL,Food
608,18.5,20.5,7,NULL,NULL
609,12,23,6,432,Food
610,12,19,3.5,500,Food
611,33,10,10,1788,Food
612,33.5,9,9,1802,Food
613,34,9,9,1750,Food
614,34,9,9,1750,Food
615,10,8,8,120,Toilet
616,19,9,3,170,Food
617,7,17,17,154,Food
618,17,11.5,1.5,NULL,NULL
619,13,18,1.5,100,Food
620,2,13,21,208,Food
